UF,Receita em 2009,Receita em 2020,Variação 09/20
AC,7548719266,7769653731,0.02926780791
SP,228891266507,239857661165,0.04791093529
ES,20897624803,23246143965,0.1123821096
DF,24246630005,28615197434,0.1801721488
SE,10405133253,12338217308,0.1857817683
RN,12896815327,15862517136,0.2299561352
RJ,78023934411,96502222953,0.236828464
MG,83065591629,104289353792,0.2555060615
PB,12730262168,16059430474,0.2615160837
PE,31371301065,39650784231,0.2639190243
BA,43034007406,56931832188,0.3229498162
AM,18066934329,23938606535,0.3249954917
RS,50739293904,67417259261,0.3286992008
CE,25111469384,33481417693,0.3333117701
MA,16737002109,22845806065,0.364987942
RR,4332262634,5917961831,0.3660210221
AL,10336869393,14520267408,0.4047064789
PI,11489216736,16211164523,0.41098953
SC,29054579445,41481542183,0.4277109831
AP,5452259268,7948532828,0.4578420499
RO,8590002310,12804559032,0.4906351093
TO,9192121294,13741982980,0.4949740698
PR,42227141012,64198831211,0.5203215201
MS,13890482967,21207015842,0.5267299124
PA,22019115378,35303071174,0.6032919837
MT,17621483916,34174426766,0.9393614595
GO,24753769049,49234493241,0.9889695643